stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,location_accuracy,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
n00062,"Node (42.370,-73.108)",42.369754,-73.108333,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00063,"Node (42.349,-73.090)",42.348504,-73.090399,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00064,"Node (41.895,-71.374)",41.894608,-71.374398,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00065,"Node (41.894,-71.374)",41.894339,-71.374283,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00066,"Node (41.894,-71.377)",41.893956,-71.376929,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00067,"Node (41.806,-71.443)",41.805707,-71.442704,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00068,"Node (41.784,-71.422)",41.784009,-71.421899,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00069,"Node (41.769,-71.427)",41.76851,-71.4273,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00070,"Node (41.766,-71.428)",41.76571,-71.4283,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00071,"Node (41.379,-71.833)",41.379261,-71.832736,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00072,"Node (41.338,-71.905)",41.337758,-71.905021,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00073,"Node (41.713,-72.739)",41.713307,-72.738504,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00074,"Node (41.777,-72.671)",41.777207,-72.6708,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00075,"Node (41.668,-72.779)",41.668008,-72.778802,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00076,"Node (41.635,-72.767)",41.634709,-72.766999,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00077,"Node (41.321,-72.896)",41.32071,-72.896302,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00078,"Node (42.968,-78.891)",42.968007,-78.891002,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00079,"Node (43.026,-78.876)",43.025708,-78.875903,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00080,"Node (42.946,-78.895)",42.946267,-78.895419,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00081,"Node (42.877,-78.855)",42.876809,-78.854701,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00082,"Node (41.306,-72.922)",41.305508,-72.921899,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00083,"Node (41.064,-73.521)",41.063508,-73.520502,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00084,"Node (41.099,-73.419)",41.098908,-73.419298,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00085,"Node (40.907,-73.789)",40.907407,-73.789201,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00086,"Node (40.825,-73.886)",40.824818,-73.886217,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00087,"Node (40.806,-73.907)",40.806008,-73.907106,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00088,"Node (40.798,-73.917)",40.797925,-73.916574,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00089,"Node (40.762,-73.905)",40.761914,-73.90471,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00090,"Node (40.751,-73.914)",40.750607,-73.913599,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00091,"Node (40.743,-73.945)",40.7431,-73.944559,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00092,"Node (40.746,-73.983)",40.745729,-73.983155,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00093,"Node (41.004,-73.657)",41.004208,-73.657193,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00094,"Node (42.151,-76.832)",42.15051,-76.831805,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00095,"Node (42.170,-76.825)",42.169999,-76.824992,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00096,"Node (42.157,-77.055)",42.156606,-77.055415,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00097,"Node (40.815,-74.095)",40.815308,-74.0953,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00098,"Node (40.783,-74.080)",40.782807,-74.080202,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00099,"Node (40.762,-74.073)",40.76241,-74.073305,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00100,"Node (40.752,-74.071)",40.751939,-74.070673,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00101,"Node (40.749,-74.070)",40.749207,-74.069604,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00102,"Node (40.741,-74.068)",40.741208,-74.068498,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00103,"Node (40.736,-74.069)",40.736108,-74.0692,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00104,"Node (41.108,-74.151)",41.107645,-74.15078,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00105,"Node (42.207,-76.506)",42.206723,-76.506146,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00106,"Node (42.107,-76.273)",42.106515,-76.272662,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
